Week End,"Date, January 1990 to most recently available"
Week End Last Year,"Date, corresponding week end last year"
Region,"Ontario, Quebec & Eastern Canada, Western Canada"
Crude Volumes For The Week,Volume of crude oil processed by refineries
Percent Of Capacity,Volume of crude oil processed as percent of refinery capacity
4 Week Average,crude runs average for the last 4 weeks
4 Week Average Last Year,crude runs average for the correspomding 4 weeks last year
YTD Average,average crude runs year to date
YTD Average Last Year,average crude runs year to date last year
Unit,thousand cubic metres per day
YTD,year to date
