Fin de la semaine,"Date, De janvier 1990 jusqu’à la période la plus récente"
Fin de la semaine l’an dernier,"Date, fin de la semaine correspondante l’an dernier"
Région,"Ontario, Québec et Est du Canada, Ouest canadien"
Volumes de brut de la semaine,Volume de brut traité par les raffineries
Pourcentage de la capacité,Volume de brut traité en pourcentage de la capacité de raffinage
Moyenne sur 4 semaines,Volumes moyens de brut des 4 dernières semaines
Moyenne sur 4 semaines de l’an dernier,Volumes de brut moyens pour la période correspondante de 4 semaines l’an dernier
Volume moyen cumulatif,Charge de brut moyenne cumulative
Volume moyen cumulatif de l’an dernier,Volumes moyens cumulatifs de brut de l’an dernier
Unité,Milliers de mètres cubes par jour
Cumul annuel,Cumul annuel
